date,number
14/02/05,594854
14/02/06,595055
14/02/09,602662
14/02/10,602744
14/02/12,602739
14/02/13,603289
14/02/16,612502
14/02/17,612570
14/02/18,612535
14/02/19,612826
14/02/20,613393
14/02/23,619593
14/02/24,619642
14/02/25,619523
14/02/26,619356
14/02/27,619470
14/02/28,624308
14/03/02,624248
14/03/03,624415
14/03/04,624539
14/03/05,624666
14/03/06,624465
14/03/09,634344
14/03/10,634147
14/03/11,634901
14/03/12,634788
14/03/13,634882
14/03/16,642867
14/03/17,641771
14/03/18,641889
14/03/19,641906
14/03/20,642482
14/03/23,647379
14/03/24,647894
14/03/25,648909
14/03/26,649161
14/03/27,649302
14/03/30,667499
14/03/31,667496
14/04/01,667556
14/04/02,667636
14/04/03,667448
14/04/05,680377
14/04/06,679753
14/04/07,679910
14/04/08,679843
14/04/09,679697
14/04/13,713437
14/04/14,713092
14/04/15,712911
14/04/16,712555
14/04/20,715306
14/04/21,715215
14/04/23,714733
14/04/24,714552
14/04/25,722521
14/04/26,722055
14/04/28,722234
14/04/29,722216
14/04/30,735864
14/05/01,735618
14/05/04,735888
14/05/05,736040
14/05/06,736087
14/05/07,736137
14/05/08,736296
14/05/11,742816
14/05/12,743021
14/05/13,743277
14/05/15,743008
14/05/19,747735
14/05/20,748066
14/05/21,747909
14/05/22,747803
14/05/25,761779
14/05/26,761674
14/05/27,761206
14/05/28,761274
14/05/29,761297
14/05/31,761171
14/06/01,765560
14/06/02,765369
14/06/03,765113
14/06/04,764820
14/06/05,764798
14/06/08,774635
14/06/09,774252
14/06/10,774198
14/06/11,773864
14/06/12,773935
14/06/15,783163
14/06/17,783410
14/06/18,783044
14/06/19,783065
14/06/22,789469
14/06/23,789219
14/06/24,789613
14/06/25,789678
14/06/26,789750
14/06/30,795442
14/07/01,795524
14/07/02,795726
14/07/03,795924
14/07/06,799291
14/07/07,799468
14/07/08,799521
14/07/09,799457
14/07/10,799410
14/07/13,805343
14/07/14,805308
14/07/15,805066
14/07/16,804602
14/07/17,804391
14/07/20,808931
14/07/21,808611
14/07/22,808589
14/07/23,808600
14/07/24,808576
14/07/29,813862
14/07/30,813860
14/07/31,815413
14/08/03,815065
14/08/04,815251
14/08/05,815088
14/08/06,814907
14/08/07,814212
14/08/10,822145
14/08/11,822499
14/08/12,822128
14/08/13,821635
14/08/14,822149
14/08/17,824454
14/08/18,824678
14/08/19,824766
14/08/20,824851
14/08/21,825012
14/08/22,831843
14/08/25,832508
14/09/02,840171
14/09/03,840009
14/09/04,840217
14/09/07,843779
14/09/08,844162
14/09/09,843728
14/09/10,843465
14/09/11,843625
14/09/14,847266
14/09/29,869500
14/10/02,896702
14/10/31,963540
14/11/30,1060279
14/12/31,1552839
15/03/06,1698472
15/03/13,1718147
15/03/20,1738448
15/03/31,1741374
15/04/10,1758092
15/04/30,1759546
15/05/04,1759846
15/05/21,1761361
15/05/26,1761486
15/06/15,1772535
15/07/09,1805255
15/08/25,1938999
15/10/02,2072290
15/11/03,2181293
