date,number
3/8/2013,790820
3/9/2013,834567
3/10/2013,835430
3/11/2013,889019
3/12/2013,894289
3/13/2013,904409
3/14/2013,907425
3/15/2013,911784
3/17/2013,922718
3/18/2013,926725
3/19/2013,930264
3/20/2013,934280
3/21/2013,937253
3/22/2013,948780
3/23/2013,948725
3/24/2013,950757
3/25/2013,972439
3/26/2013,978982
3/27/2013,986639
3/28/2013,992167
3/29/2013,993743
3/31/2013,994246
4/1/2013,1005544
4/2/2013,1014558
4/3/2013,1021993
4/4/2013,1027123
4/5/2013,1063919
4/6/2013,1064495
4/7/2013,1071822
4/8/2013,1080456
4/9/2013,1087308
4/10/2013,1095022
4/11/2013,1102843
4/12/2013,1108364
4/13/2013,1108136
4/14/2013,1112599
4/15/2013,1124095
4/16/2013,1133087
4/17/2013,1139210
4/18/2013,1148491
4/20/2013,1157036
4/21/2013,1164512
4/22/2013,1196882
4/23/2013,1205757
4/24/2013,1213869
4/25/2013,1220847
4/26/2013,1224903
4/29/2013,1235225
4/30/2013,1245963
5/1/2013,1246504
5/2/2013,1257460
5/3/2013,1260228
5/5/2013,1260921
5/6/2013,1265066
5/7/2013,1268412
5/8/2013,1274485
5/9/2013,1228257
5/10/2013,1232927
5/12/2013,1234689
5/13/2013,1275768
5/14/2013,1275693
5/15/2013,1313379
5/16/2013,1319620
5/17/2013,1323904
5/18/2013,1323866
5/19/2013,1324471
5/20/2013,1337317
5/21/2013,1351717
5/22/2013,1358806
5/23/2013,1370125
5/24/2013,1373882
5/26/2013,1374865
5/27/2013,1403494
5/28/2013,1410865
5/29/2013,1417527
5/30/2013,1423807
5/31/2013,1423036
6/3/2013,1409640
6/4/2013,1416104
6/5/2013,1430995
6/6/2013,1437839
6/7/2013,1440662
6/9/2013,1442971
6/10/2013,1456463
6/11/2013,1456412
6/12/2013,1464755
6/13/2013,1470603
6/14/2013,1474184
6/16/2013,1476497
6/17/2013,1490186
6/18/2013,1495501
6/19/2013,1499819
6/20/2013,1510354
6/21/2013,1512160
6/23/2013,1516510
6/24/2013,1521582
6/25/2013,1528358
6/26/2013,1547643
6/27/2013,1552994
6/28/2013,1555426
6/30/2013,1558395
7/1/2013,1561526
7/2/2013,1569179
7/3/2013,1574346
7/4/2013,1579339
7/7/2013,1582495
7/8/2013,1593920
7/9/2013,1597562
