"DATE","LAT","LONG","HUMANNAME","COUNT","GOLDSTEIN","SAMPLEURL","TITLE"
"20151125","35.5148","35.7768","Latakia, Al Ladhiqiyah, Syria","124","-9.518548387096775","http://www.bangkokpost.com/opinion/opinion/777041/putin-waging-war-on-too-many-fronts","Putin waging war on too many fronts | Bangkok Post: opinion"
"20130913","33.5","36.3","Damascus, Dimashq, Syria","123","-8.865040650406504","http://blogs.reuters.com/david-rohde/2013/09/12/dictators-never-looked-so-good/","Dictators never looked so good"
"20140623","32.9049","35.8072","Golan Heights, Syria (general), Syria","118","-9.703389830508476","http://www.globalpost.com/dispatch/news/thomson-reuters/140622/explosion-kills-man-israeli-occupied-golan-israel-says","Attack from Syria kills Israeli teen on Golan, Israel says | GlobalPost"
"20150521","34.5608","38.2805","Palmyra, ?ims, Syria","116","-8.62844827586207","http://www.japantoday.com/category/world/view/islamic-state-takes-control-of-ancient-syrian-city-of-palmyra","Islamic State takes control of ancient Syrian city of Palmyra ‹ Japan Today: Japan News and Discussion","none"
"20151116","35.95","39.0167","Raqqa, Ar Raqqah, Syria","115","-9.270434782608694","http://www.japantimes.co.jp/news/2015/11/17/world/islamic-state-vows-video-attack-washington-crusader-campaign-allies/","Islamic State vows in video to attack Washington, 'crusader campaign' allies | The Japan Times"
"20151117","35.95","39.0167","Raqqa, Ar Raqqah, Syria","111","-9.1981981981982","http://www.timesfreepress.com/news/politics/state/story/2015/nov/24/haslam-tennesseans-scared-over-syrirefugees/337303/","Gov. Haslam says Tennesseans 'scared' of Syrian refugees | Times Free Press"
"20130824","33.5","36.3","Damascus, Dimashq, Syria","110","-9.586363636363636","http://news.yahoo.com/medical-charity-msf-says-355-dead-syria-chemical-155951641.html","none"
"20140901","32.9049","35.8072","Golan Heights, Syria (general), Syria","110","-9.465454545454547","http://www.newstalk.ie/reader/47.301/30489/0/","none"
"20140828","32.9049","35.8072","Golan Heights, Syria (general), Syria","110","-8.710909090909091","http://www.telesurtv.net/english/news/Syrian-Militants-Detain-U.N.-Peacekeepers-20140828-0043.html","Syrian Militants Detain U.N. Peacekeepers | News | teleSUR English"
"20130907","33.5","36.3","Damascus, Dimashq, Syria","109","-9.362385321100918","http://www.abs-cbnnews.com/global-filipino/world/09/08/13/pope-syria-peace-appeal-calls-end-spiral-death","Pope, in Syria peace appeal, calls for end to spiral of death |  ABS-CBN News"
"20140923","33.5","36.3","Damascus, Dimashq, Syria","108","-9.246296296296297","http://www.spacewar.com/reports/Syria_Kurds_battle_jihadist_advance_as_thousands_flee_999.html/RK=0","Syria Kurds battle jihadist advance as thousands flee"
"20151010","36.2028","37.1586","Aleppo, ?alab, Syria","106","-9.678301886792454","http://dissidentvoice.org/2015/10/deconstructing-the-nato-narrative-on-syria/","Deconstructing the NATO Narrative on Syria  |  Dissident Voice"
"20140923","32.9049","35.8072","Golan Heights, Syria (general), Syria","104","-9.800961538461541","http://www.cnn.com/2014/09/22/world/meast/al-qaeda-syria-khorasan/index.html","U.S. strikes Khorasan Group in Syria - CNN.com"
"20151124","35.5148","35.7768","Latakia, Al Ladhiqiyah, Syria","104","-9.531730769230771","http://www.jordantimes.com/news/local/current-regional-developments-will-push-int%E2%80%99l-community-work-together-%E2%80%94-king","none"
"20151126","35.5148","35.7768","Latakia, Al Ladhiqiyah, Syria","103","-9.024271844660198","http://laht.com/article.asp?ArticleId=2400814&CategoryId=12395","Latin American Herald Tribune - Russia Deploys S-400 Anti-Aircraft System in Syria to Protect Its Aircraft"
"20151113","35.95","39.0167","Raqqa, Ar Raqqah, Syria","101","-9.261386138613862","http://www.laprensasa.com/309_america-in-english/3458055_u-s-reasonably-certain-that-drone-strike-killed-jihadi-john.html","U.S. ""reasonably certain"" that drone strike killed ""Jihadi John"" :: La Prensa :: America in English"
"20150930","33.5","36.3","Damascus, Dimashq, Syria","101","-8.990099009900991","http://rudaw.net/english/middleeast/syria/30092015","Russian jets hit ISIS, opposition forces in Syria"
"20151002","33.5","36.3","Damascus, Dimashq, Syria","100","-9.05200000000001","http://globalnews.ca/news/2255828/france-tells-putin-that-russia-must-confine-airstrikes-in-syria-to-is-targets/","France tells Putin that Russia must confine airstrikes in Syria to IS targets - National | Globalnews.ca"
"20151020","36.2028","37.1586","Aleppo, ?alab, Syria","97","-9.27938144329897","http://www.voanews.com/content/iran-russia-undeterred-by-slow-go-in-syria/3015874.html","Iran, Russia Undeterred by Slow-Go in Syria"
"20131217","36.2028","37.1586","Aleppo, ?alab, Syria","96","-8.512500000000001","http://www.crescent-news.com/ap%20international/2013/12/16/syrian-activists-airstrike-death-toll-rises-to-76","none"
"20150128","32.9049","35.8072","Golan Heights, Syria (general), Syria","96","-9.848958333333334","http://english.ahram.org.eg/NewsContent/2/8/121581/World/Region/Hizbullah-kills-two-Israeli-soldiers-in-border-ski.aspx","Hizbullah kills two Israeli soldiers in border skirmishes - Region - World - Ahram Online"
"20140323","35.5148","35.7768","Latakia, Al Ladhiqiyah, Syria","96","-9.869791666666666","http://www.key103.co.uk/news/uk-and-world/20140323-turkey-shoots-down-syrian-military-jet/","none"
"20130923","33.5","36.3","Damascus, Dimashq, Syria","95","-9.032631578947369","http://frontpagemag.com/2013/arnold-ahlert/obamas-move-to-arm-al-qaeda-in-syria/","none"
"20131216","36.2028","37.1586","Aleppo, ?alab, Syria","95","-9.665263157894737","http://rt.com/op-edge/syria-fighting-saudis-uk-353/","Saudis want to turn Syria into ‘graveyard for minorities’ — RT Op-Edge","none"
"20140319","32.9049","35.8072","Golan Heights, Syria (general), Syria","91","-9.667032967032968","http://www.stljewishlight.com/news/world/article_fee536b3-ebb6-5aa8-90f9-bd9b42f16466.html","Syrian army accuses Israel of escalation following air strikes - St. Louis Jewish Light: National And World News - Syrian army accuses Israel of escalation following air strikes: National And World News"
"20131017","33.5","36.3","Damascus, Dimashq, Syria","90","-9.28888888888889","http://www.haaretz.com/1.553093","Top Syrian General Killed in Battle - Middle East - Haaretz - Israeli News Source Haaretz.com"
"20130926","33.5","36.3","Damascus, Dimashq, Syria","90","-9.24888888888889","http://www.ktvn.com/story/23534299/local-al-qaida-commander-killed-in-syria","none"
"20151015","36.2028","37.1586","Aleppo, ?alab, Syria","89","-8.908988764044945","http://www.latimes.com/world/middleeast/la-fg-syria-homs-20151016-story.html","Syrian-Russian attacks target rebels, but apparently not Islamic State - LA Times"
"20130920","33.5","36.3","Damascus, Dimashq, Syria","89","-9.439325842696629","http://reliefweb.int/report/syrian-arab-republic/rebels-jihadists-agree-truce-syria-seeks-ceasefire","Rebels, jihadists agree truce as Syria seeks ceasefire - Syrian Arab Republic | ReliefWeb"
"20141224","35.95","39.0167","Raqqa, Ar Raqqah, Syria","89","-9.752808988764045","http://www.themalaymailonline.com/world/article/father-of-captured-pilot-asks-islamic-state-to-treat-son-as-guest","Father of captured pilot asks Islamic State to treat son as ‘guest’ | World | Malay Mail Online","none"
"20151016","36.2028","37.1586","Aleppo, ?alab, Syria","88","-9.242045454545455","http://www.thejc.com/news/world-news/147728/us-and-israel-talk-defence-iran-marches-aleppo","US and Israel talk defence as Iran marches on Aleppo    | The Jewish Chronicle"
"20140324","35.5148","35.7768","Latakia, Al Ladhiqiyah, Syria","87","-9.858620689655172","http://www.dailystar.com.lb/News/Middle-East/2014/Mar-25/251260-syria-rebels-launch-northern-offensive-after-heavy-losses.ashx","none"
"20130924","33.5","36.3","Damascus, Dimashq, Syria","87","-8.967816091954024","http://www.middleeaststar.com/index.php/sid/217297068/scat/940f2bfd509e743b","none"
"20131018","33.5","36.3","Damascus, Dimashq, Syria","87","-9.183908045977011","http://www.nationaljournal.com/global-security-newswire/cyprus-agrees-to-host-syria-chemical-disarmers-20131018","none"
"20151014","36.2028","37.1586","Aleppo, ?alab, Syria","86","-9.427906976744188","http://kdwn.com/2015/10/14/iran-sends-fighters-to-syria-escalating-its-involvement/","none"
"20130506","33.5","36.3","Damascus, Dimashq, Syria","85","-9.74","http://www.jpost.com/Opinion/Editorials/Article.aspx?ID=312146&R=R1","Message to Assad - Opinion - Jerusalem Post"
"20130616","33.5","36.3","Damascus, Dimashq, Syria","84","-7.198809523809524","http://www.allvoices.com/contributed-news/14811930-egypts-morsi-urges-world-powers-to-enforce-noflyzone-over-syria","Pulsepoint"
"20140622","32.9049","35.8072","Golan Heights, Syria (general), Syria","84","-9.821428571428571","http://zeenews.india.com/news/world/attack-from-syria-kills-israeli-teen-on-golan-israel-says_941828.html","Attack from Syria kills Israeli teen on Golan, Israel says | Zee News"
"20150817","33.5","36.3","Damascus, Dimashq, Syria","84","-9.121428571428572","http://www.menafn.com/1094311573/Air-strikes-near-Damascus-kill-at-least-80-people-activists","Air strikes near Damascus kill at least 80 people: activists | MENAFN.COM"
"20151001","33.5","36.3","Damascus, Dimashq, Syria","84","-9.305952380952384","http://citizen.co.za/afp_feed_article/russia-again-strikes-assads-foes-amid-us-concerns/","Russia again strikes Assad's foes, amid US concerns | The Citizen"
"20140317","33.9674","36.6574","Yabrud, Rif Dimashq, Syria","82","-8.71951219512195","http://www.enca.com/world/syrian-forces-set-assault-remaining-rebel-territories","Syrian forces set for assault on remaining rebel territories | eNCA"
