DATE,LAT,LONG,HUMANNAME,COUNT,GOLDSTEIN,SAMPLEURL
20140530,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.almanar.com.lb/english/adetails.php?eid=154119&cid=23&fromval=1"
20150512,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.albawaba.com/news/regime-bomb-attacks-aleppo-kill-least-20-civilians-693770"
20150704,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-9.875,"http://www.dw.com/en/fighting-rages-for-control-of-syrias-aleppo-zabadani/a-18561590"
20130920,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.dailystar.com.lb/News/Middle-East/2013/Sep-21/232025-christian-hostel-in-aleppo-has-own-view-of-jihadist-rebels.ashx"
20130612,35.3318,40.193,"Hatla, Dayr az Zawr, Syria",4,-9.8,"http://www.aljazeera.com/news/middleeast/2013/06/201361294148169694.html"
20131223,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.pekintimes.com/article/20131223/NEWS/131229710/-1/news"
20131010,32.6189,36.1021,"Deraa, Dar‘a, Syria",4,-10.0,"http://al-shorfa.com/en_GB/articles/meii/newsbriefs/2013/10/10/newsbrief-02"
20130426,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"http://www.foxnews.com/world/2013/04/26/syrian-activists-reporting-heavy-fighting-in-northern-damascus-neighborhoods/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fworld+%28Internal+-+World+Latest+-+Text%29"
20150121,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://news.asiaone.com/news/asia/%E2%80%98you-may-not-return-alive%E2%80%99-syrian-guide-warned-japan-journalist"
20131226,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"Al-Sharq al-Awsat website, London/BBC Monitoring/(c) BBC"
20131101,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"http://al-shorfa.com/en_GB/articles/meii/newsbriefs/2013/11/01/newsbrief-01"
20131231,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"SANA news agency website, Damascus/BBC Monitoring/(c) BBC"
20131029,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"http://abna.ir/data.asp?lang=3&Id=476441"
20131224,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.local10.com/news/Airstrikes-pound-Syrian-rebel-stronghold/-/1717324/23636180/-/kg81qq/-/index.html"
20140816,36.5866,37.0463,"Aazaz, ?alab, Syria",4,-7.5,"http://www.channelnewsasia.com/news/is-kills-hundreds-in/1316668.html"
20140917,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"https://www.kuna.net.kw/ArticleDetails.aspx?id=2397943&Language=en"
20130402,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"http://www.adelaidenow.com.au/news/breaking-news/syrian-forces-hit-rebel-areas-of-damascus/story-e6frea7u-1226611815947?from=public_rss"
20150727,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2015-07-27-Islamic-State/id-e0b81073394b47e5a7882857b4ea009b"
20140214,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.montrealgazette.com/news/puts+evacuations+from+Syrian+battleground+city+Homs+hold/9507883/story.html"
20130819,35.5148,35.7768,"Latakia, Al Ladhiqiyah, Syria",4,-10.0,"http://www.leaderherald.com/page/content.detail/id/361069/UN-says-thousands-of-Syrians-fleeing-to-Iraq.html?isap=1&nav=5042&c=7AScIPyYHR2ZvvhisOjm0oRQuV9ao3b9IBSLmPPZuxw&mkt=en-us"
20140321,32.7359,35.7441,"Wadi Khaled, Al Qunaytirah, Syria",4,-10.0,"http://www.huffingtonpost.com/2014/03/20/syria-closes-lebanon-border_n_4999288.html"
20150809,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-7.5,"http://www.smh.com.au/world/insurgents-edge-closer-to-assads-syrian-stronghold-as-is-claims-more-villages-20150809-giv7ud.html"
20131006,33.5,36.3,"Damascus, Dimashq, Syria",4,-10.0,"http://www.dailystar.com.lb/News/Middle-East/2013/Oct-07/233766-mortar-bombs-kill-eight-in-capital-rebels-seek-truce.ashx"
20150921,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"https://www.dailystar.com.lb/News/Middle-East/2015/Sep-21/316082-regime-bombardment-kill-18-civilians-in-aleppo-activists.ashx"
20140410,36.2028,37.1586,"Aleppo, ?alab, Syria",4,-10.0,"http://www.dawn.com/news/1099064/al-qaeda-loses-ground-to-rivals-in-syria"
